download_kbps,is_blacklisted,sim_mobile_carrier_id,network_mobile_carrier_id,raw_sim_carrier_id,raw_network_carrier_id
43,0,3516.0,3516.0,25,25.0
5928,0,3430.0,,639,
34660,0,2712.0,2712.0,1152,1152.0
471,0,2709.0,2709.0,1707,1707.0
2124,0,2715.0,2715.0,912,912.0
31,0,3925.0,3925.0,139455,2613.0
39,0,2709.0,,375,
14635,0,3516.0,3516.0,336,336.0
1130,0,3516.0,2709.0,48468,4077.0
8338,0,3516.0,,207,
62056,0,3430.0,2709.0,2137,7260.0
3476,0,3516.0,3516.0,692,692.0
1712,0,2709.0,2709.0,1686,1686.0
869,0,,,732,732.0
3590,0,2715.0,2715.0,97998,912.0
5901,0,2709.0,2709.0,3390,3390.0
33842,0,3516.0,3516.0,354,354.0
29881,0,2715.0,,803,
47108,0,2709.0,,341,
7316,0,3923.0,3923.0,147002,147002.0
1077,0,2709.0,2709.0,1686,1686.0
10094,0,3430.0,3430.0,1682,1137.0
1009,0,2961.0,3516.0,195,12438.0
979,0,2699.0,,4372,73421.0
1050,0,2709.0,,315,
42173,0,3516.0,3516.0,354,354.0
4481,0,2709.0,,315,
1065,0,2699.0,2699.0,904,904.0
9111,0,2699.0,2699.0,904,904.0
45277,0,3516.0,,207,
846,0,3516.0,3516.0,336,336.0
44153,0,3516.0,3516.0,692,692.0
93563,0,3516.0,3516.0,354,354.0
14953,0,2709.0,2709.0,1686,1686.0
1769,0,2709.0,,532,
3656,0,3516.0,3516.0,143,143.0
2016,0,2709.0,2709.0,1326,1326.0
15069,0,3430.0,3430.0,986,125359.0
4776,0,3516.0,3516.0,548,548.0
130,0,2709.0,2709.0,4099,4099.0
4068,0,3925.0,3925.0,139308,139308.0
1927,0,2709.0,2709.0,1216,1216.0
1234,0,2709.0,2709.0,1326,1326.0
3279,0,2709.0,2709.0,1686,1203.0
9756,0,2709.0,2709.0,1123,345.0
8182,0,2709.0,2709.0,3390,3390.0
12004,0,3516.0,3516.0,354,10597.0
1791,0,2699.0,2699.0,1421,1421.0
30655,0,2709.0,,458,
15229,0,2709.0,2709.0,4945,4945.0
737,0,2712.0,2712.0,28672,1161.0
3638,0,3430.0,3430.0,2137,2137.0
501,0,3430.0,,560,
29174,0,3516.0,3516.0,548,17564.0
3698,0,3516.0,3516.0,354,354.0
294,0,3516.0,3516.0,692,1210.0
5375,0,3516.0,2709.0,31740,349.0
2706,0,2709.0,2709.0,4945,4945.0
35490,0,2699.0,2699.0,1641,1641.0
7851,0,3516.0,3516.0,486,486.0
2055,0,3516.0,3516.0,548,548.0
61,0,2699.0,2699.0,1421,6898.0
3960,0,2712.0,2712.0,1221,1221.0
683,0,2709.0,2709.0,1686,1686.0
8791,0,3516.0,,451,
17543,0,2709.0,2709.0,1326,1326.0
8076,0,2709.0,2712.0,33278,1269.0
489,0,3516.0,3516.0,486,486.0
1096,0,,,732,732.0
59087,0,3923.0,3923.0,99490,99490.0
279,0,3516.0,3516.0,692,1096.0
426,0,2699.0,3516.0,33740,1020.0
959,0,3430.0,3430.0,2232,2232.0
1137,0,3516.0,3516.0,806,806.0
4796,0,3516.0,3516.0,143,143.0
1560,0,3430.0,3430.0,6,6.0
83,0,3516.0,3516.0,806,806.0
3299,0,3925.0,3925.0,139308,1539.0
374,0,2709.0,2709.0,1707,1707.0
1964,0,3516.0,3516.0,1291,1291.0
4691,0,2715.0,2715.0,895,895.0
519,0,3516.0,3516.0,10597,354.0
2188,0,2709.0,2709.0,3269,3269.0
4948,0,3516.0,,207,
5394,0,2709.0,,346,
33,0,2709.0,2709.0,4945,4945.0
3278,0,2709.0,2709.0,1384,1384.0
9623,0,2709.0,2709.0,494,494.0
1868,0,3516.0,3516.0,336,6831.0
518,0,3430.0,3430.0,1098,1098.0
5266,0,2709.0,2709.0,494,494.0
283,0,3474.0,3474.0,8057,8057.0
1946,0,3430.0,,671,
431,0,2709.0,2709.0,1216,1216.0
714,0,2709.0,,532,
1124,0,2709.0,,341,
1348,0,3516.0,3516.0,1291,1291.0
30766,0,3516.0,,207,
994,0,3516.0,,257,
10561,0,3516.0,3430.0,806,33728.0
3456,0,2709.0,2709.0,1203,1686.0
482,0,3516.0,,650,
7964,0,3516.0,3516.0,354,354.0
9557,0,3516.0,,189,
406,0,2709.0,2709.0,1123,1123.0
50859,0,3817.0,,165,
531,0,2709.0,2709.0,1707,1707.0
21757,0,2709.0,2709.0,1326,1326.0
6813,0,3430.0,2709.0,2137,7260.0
104,0,3474.0,3474.0,5317,5317.0
877,0,3430.0,,846,
13213,0,2709.0,3516.0,29639,354.0
599,0,2699.0,2699.0,3627,3627.0
2961,0,2715.0,2715.0,1626,1626.0
1513,0,3094.0,,1,
26473,0,3923.0,3923.0,109974,103582.0
2340,0,3516.0,3516.0,1291,1291.0
397,0,3474.0,3474.0,4566,174.0
43141,0,,,732,732.0
9594,0,3516.0,3516.0,548,548.0
57,0,2709.0,2709.0,1686,1686.0
10720,0,2709.0,2709.0,1686,1686.0
1090,0,2712.0,2712.0,1269,1269.0
3781,0,3516.0,3516.0,1096,1096.0
9776,0,2699.0,3753.0,4372,17.0
1995,0,3516.0,3516.0,486,486.0
16091,0,2699.0,2699.0,1217,1217.0
1410,0,3474.0,2712.0,36978,1673.0
89,0,3516.0,3516.0,354,354.0
1118,0,3430.0,3430.0,1042,1042.0
3701,0,3516.0,,548,732.0
3998,0,3474.0,3474.0,1258,32.0
23700,0,3516.0,3516.0,354,354.0
22011,0,3516.0,3516.0,336,336.0
7859,0,3474.0,3474.0,2143,1235.0
13759,0,3516.0,3516.0,1094,1094.0
1801,0,2699.0,2699.0,1421,86604.0
3464,0,2709.0,2709.0,1123,1123.0
1202,0,,,0,
29812,0,3516.0,3516.0,354,354.0
772,0,2712.0,,15799,
1026,0,2709.0,2709.0,1128,1707.0
53099,0,2709.0,,346,
5838,0,2709.0,2709.0,1326,1326.0
3203,1,2709.0,2709.0,1123,1123.0
4129,1,2709.0,2709.0,1123,1123.0
23811,1,2709.0,2709.0,1123,1123.0
1761,1,2709.0,2709.0,1123,1123.0
1138,1,2709.0,2709.0,1123,1123.0
1560,1,2709.0,2709.0,1123,1123.0
6663,1,2709.0,2709.0,1123,1123.0
9635,1,2709.0,2709.0,1123,1123.0
2410,1,2709.0,2709.0,1123,1123.0
507,1,2709.0,2709.0,1123,1123.0
17705,1,2709.0,2709.0,1123,1123.0
2053,1,2709.0,2709.0,1123,1123.0
158,1,2709.0,2709.0,1123,1123.0
1767,1,2709.0,2709.0,1123,1123.0
2030,1,2709.0,2709.0,1123,1123.0
14566,1,2709.0,2709.0,1123,1123.0
15584,1,2709.0,2709.0,1123,1123.0
544,1,2709.0,2709.0,1123,1123.0
16231,1,2709.0,2709.0,1123,1123.0
7660,1,2709.0,2709.0,1123,1123.0
21408,1,2709.0,2709.0,1123,1123.0
792,1,3923.0,3923.0,99947,103354.0
10740,1,2709.0,2709.0,1123,1123.0
4983,1,2709.0,2709.0,1123,1123.0
22177,1,2709.0,2709.0,1123,1123.0
23548,1,2709.0,2709.0,1123,1123.0
10367,1,2709.0,2709.0,1123,1123.0
8884,1,2709.0,2709.0,1123,1123.0
5241,1,2709.0,2709.0,1123,1123.0
1546,1,2709.0,2709.0,1123,1123.0
2001,1,2709.0,2709.0,1123,1123.0
5039,1,2709.0,2709.0,1123,1123.0
24954,1,2709.0,2709.0,1123,1123.0
17898,1,2709.0,2709.0,1123,1123.0
4299,1,2709.0,2709.0,1123,1123.0
24738,1,2709.0,2709.0,1123,1123.0
370,1,2709.0,2709.0,1123,1123.0
92,1,2709.0,2709.0,1123,1123.0
5936,1,2709.0,2709.0,1123,1123.0
11619,1,2709.0,2709.0,1123,1123.0
26764,1,2709.0,2709.0,1123,1123.0
25809,1,2709.0,2709.0,1123,1123.0
41559,1,2709.0,2709.0,1123,1123.0
32821,1,2709.0,2709.0,1123,1123.0
13,1,2709.0,2709.0,1123,1123.0
22323,1,2709.0,2709.0,1123,1123.0
354,1,2709.0,2709.0,1123,1123.0
36418,1,2709.0,2709.0,1123,1123.0
8598,1,2709.0,2709.0,1123,1123.0
10670,1,2709.0,2709.0,1123,1123.0
11840,1,2709.0,2709.0,1123,1123.0
6044,1,2709.0,2709.0,1123,1123.0
2996,1,2709.0,2709.0,1123,1123.0
9905,1,2709.0,2709.0,1123,1123.0
29311,1,2709.0,2709.0,1123,1123.0
463,1,2709.0,2709.0,1123,1123.0
77,1,2709.0,2709.0,1123,1123.0
18733,1,2709.0,2709.0,1123,1123.0
622,1,2709.0,2709.0,1123,1123.0
2284,1,2709.0,2709.0,1123,1123.0
1255,1,2709.0,2709.0,1123,1123.0
2881,1,2709.0,2709.0,1123,1123.0
789,1,2709.0,2709.0,1123,1123.0
1085,1,2709.0,2709.0,1123,1123.0
13719,1,2709.0,2709.0,1123,1123.0
24357,1,2709.0,2709.0,1123,1123.0
6067,1,2709.0,2709.0,1123,1123.0
4433,1,2709.0,2709.0,1123,1123.0
2644,1,2709.0,2709.0,1123,1123.0
16910,1,2709.0,2709.0,1123,1123.0
16191,1,2709.0,2709.0,1123,1123.0
2053,1,2709.0,2709.0,1123,1123.0
3751,1,2709.0,2709.0,1123,1123.0
4209,1,2709.0,2709.0,1123,1123.0
430,1,2709.0,2709.0,1123,1123.0
3544,1,2709.0,2709.0,1123,1123.0
16192,1,2709.0,2709.0,1123,1123.0
6748,1,2709.0,2709.0,1123,1123.0
599,1,2709.0,2709.0,1123,1123.0
3638,1,2709.0,2709.0,1123,1123.0
6789,1,2709.0,2709.0,1123,1123.0
6260,1,2709.0,2709.0,1123,1123.0
4589,1,2709.0,2709.0,1123,1123.0
24503,1,2709.0,2709.0,1123,1123.0
8400,1,2709.0,2709.0,1123,1123.0
8136,1,2709.0,2709.0,1123,1123.0
1202,1,2709.0,2709.0,1123,1123.0
5264,1,2709.0,2709.0,1123,1123.0
1288,1,2709.0,2709.0,1123,1123.0
9091,1,2709.0,2709.0,1123,1123.0
3671,1,2709.0,2709.0,1123,1123.0
11402,1,2709.0,2709.0,1123,1123.0
2107,1,2709.0,2709.0,1123,1123.0
735,1,2709.0,2709.0,1123,1123.0
2630,1,2709.0,2709.0,1123,1123.0
2,1,2709.0,2709.0,1123,1123.0
871,1,2709.0,2709.0,1123,1123.0
2207,1,2709.0,2709.0,1123,1123.0
3297,1,2709.0,3430.0,7260,2137.0
1120,1,2709.0,2709.0,1123,1123.0
1455,1,2709.0,2709.0,1123,1123.0
8109,1,2709.0,2709.0,1123,1123.0
18963,1,2709.0,2709.0,1123,1123.0
12895,1,2709.0,2709.0,1123,1123.0
3564,1,2709.0,2709.0,1123,1123.0
28657,1,2709.0,2709.0,1123,1123.0
7323,1,2709.0,2709.0,1123,1123.0
6078,1,2709.0,2709.0,1123,1123.0
2002,1,2709.0,2709.0,1123,1123.0
8236,1,2709.0,2709.0,1123,1123.0
9576,1,2709.0,2709.0,1123,1123.0
9177,1,2709.0,2709.0,1123,1123.0
40791,1,2709.0,2709.0,1123,1123.0
23340,1,2709.0,2709.0,1123,1123.0
143,1,2709.0,2709.0,1123,1123.0
4289,1,2709.0,2709.0,1123,1123.0
8190,1,2709.0,2709.0,1123,1123.0
10553,1,2709.0,2709.0,1123,1123.0
5691,1,2709.0,2709.0,1123,1123.0
9655,1,2709.0,2709.0,1123,1123.0
2199,1,2709.0,2709.0,1123,1123.0
2133,1,2709.0,2709.0,1123,1123.0
2352,1,2709.0,2709.0,1123,1123.0
5473,1,2709.0,2709.0,1123,1123.0
11578,1,2709.0,2709.0,1123,1123.0
3155,1,2709.0,2709.0,1123,1123.0
9549,1,2709.0,2709.0,1123,1123.0
1514,1,2709.0,2709.0,1123,1123.0
20361,1,2709.0,2709.0,1123,1123.0
18655,1,2709.0,2709.0,1123,1123.0
16238,1,2709.0,2709.0,1123,1123.0
14690,1,2709.0,2709.0,1123,1123.0
56,1,2709.0,2709.0,1123,1123.0
16570,1,2709.0,2709.0,1123,1123.0
12035,1,2709.0,2709.0,1123,1123.0
7337,1,2709.0,2709.0,1123,1123.0
22595,1,2709.0,2709.0,1123,1123.0
11755,1,2709.0,2709.0,1123,1123.0
36881,1,2709.0,2709.0,1123,1123.0
13916,1,2709.0,2709.0,1123,1123.0
12215,1,2709.0,2709.0,1123,1123.0
34129,1,2709.0,2709.0,1123,1123.0
17908,1,2709.0,2709.0,1123,1123.0
23156,1,2709.0,2709.0,1123,1123.0
98,1,2709.0,2709.0,1123,1123.0
10456,1,2709.0,2709.0,1123,1123.0
3355,1,2709.0,2709.0,1123,1123.0
2071,1,3923.0,3923.0,99947,103354.0
5322,1,2709.0,2709.0,1123,1123.0
128,1,2709.0,2709.0,1123,1123.0
32758,1,2709.0,2709.0,1123,1123.0
33433,1,2709.0,2709.0,1123,1123.0
12544,1,2709.0,2709.0,1123,1123.0
40201,1,2709.0,2709.0,1123,1123.0
8063,1,2709.0,3430.0,7260,2137.0
1274,1,2709.0,2709.0,1123,1123.0
30419,1,2709.0,2709.0,1123,1123.0
3734,1,2709.0,2709.0,1123,1123.0
4377,1,2709.0,2709.0,1123,1123.0
591,1,2709.0,2709.0,1123,1123.0
953,1,2709.0,2709.0,1123,1123.0
11831,1,2709.0,2709.0,1123,1123.0
1269,1,2709.0,2709.0,1123,1123.0
1951,1,2709.0,2709.0,1123,1123.0
10452,1,2709.0,2709.0,1123,1123.0
